,title,company,salary,summary,location,link
23,"Senior Software Developer, Ventures Engineering, Digital Fin...",Deloitte,,Introducing KYC Flow: Product Factory’s technology to help streamline and scale KYC (Know Your Customer) operations.,London•Temporarily Remote,https://uk.indeed.com/rc/clk?jk=912a023e6ecdbe05&fccid=9e215d88a6b33622&vjs=3
24,Flutter Engineer- Remote - Blockchain sector,MobileCoin,"£160,000 - £210,000 a year","Comp: Base $160k - $210k (dependent on level of experience / suitability) + attractive equity + excellent benefits.
Design, develop, and test new APIs.",London+1 location•Remote,https://uk.indeed.com/company/MobileCoin/jobs/Flutter-Engineer-a16cdf142896d16f?fccid=734623aba8b7a021&vjs=3
25,Scala Engineer - Blockchain,Linux Recruit,"£55,000 - £90,000 a year","You will work on building real and tangible Blockchain and Ethereum products with Scala, Akka, Cats and AWS.",London,https://uk.indeed.com/rc/clk?jk=9295ad6ad322b0a0&fccid=c7414b794cb89c1c&vjs=3
26,Senior Ruby Developer,Koinly,,"4+ years experience as a ruby or full-stack developer.
We are looking for a Lead Ruby developer with at least 4 years of experience to join and lead our Backend…",London SW1A 2DX•Remote,https://uk.indeed.com/rc/clk?jk=278b6e8e40752a96&fccid=d043573077c07e18&vjs=3
27,Senior Software Engineer - Full Stack,Visa,,"We are looking for passionate and hands-on senior software engineers with a passion to build innovative products.
Masters degree or work experience equivelanrt.",London,https://uk.indeed.com/rc/clk?jk=f6ad9012f371c8ff&fccid=a3f737e511d9fc8c&vjs=3
28,"Full Stack Software Engineer, Deloitte Ventures, Financial A...",Deloitte,,Product Factory harnesses ground-breaking technology and the latest programming techniques to solve our clients' most complex and immediate issues.,London,https://uk.indeed.com/rc/clk?jk=f9d59423caf4ba2d&fccid=9e215d88a6b33622&vjs=3
29,Back End Developer,Consortia,"£70,000 - £90,000 a year","Strong understanding of server-side JavaScript development.
Experience of services from AWS.
Some front end development experience would be a bonus.",London•Temporarily Remote,https://uk.indeed.com/rc/clk?jk=82f1afc40fdb604a&fccid=04f36097f3ddf22e&vjs=3
30,Full Stack Developer - FULLY REMOTE,GCS Recruitment Specialists Ltd,,Utilising maninly React and Node.,London•Remote,https://uk.indeed.com/rc/clk?jk=e613de8dc9db171c&fccid=9edab1e8e49ca60f&vjs=3
31,Senior Software Developer,SoCode,£500 - £800 a day,"Prior experience working with blockchain.
SoCode are recruiting for a team of Contract Software Engineers with Golang Experience for our Exclusive Client - a…",Greater London,https://uk.indeed.com/rc/clk?jk=7b7c8abf3ea26806&fccid=8f35589a37e69470&vjs=3
32,Full Stack Developer,Consortia,"£60,000 - £80,000 a year","Strong understanding of server-side JavaScript development.
Experience of services from AWS.
Some front end development experience.",London•Temporarily Remote,https://uk.indeed.com/rc/clk?jk=ff96835af7661847&fccid=04f36097f3ddf22e&vjs=3
33,Java Developer,Consortia,"£60,000 - £75,000 a year","Extensive Java experience with an interest in learning Kotlin (no previous Kotlin experience is required).
Experience of coding against REST APIs.",London,https://uk.indeed.com/rc/clk?jk=4e115cb23f61e81d&fccid=04f36097f3ddf22e&vjs=3
34,Technical Lead / Lead Developer,IBM,,"As such, you should be willing to mentor junior developers, as well as helping to co-ordinate the efforts of other developers within the project team.",London,https://uk.indeed.com/rc/clk?jk=d75ac3780f8a4ec0&fccid=de71a49b535e21cb&vjs=3
35,Software Engineer - iOS/Android,Visa,,"We are looking for hands-on software engineers with a passion to build innovative products.
This role requires quick problem solving skills, logical thinking,…",London,https://uk.indeed.com/rc/clk?jk=e838ef137527354a&fccid=a3f737e511d9fc8c&vjs=3
36,"Consultant - Senior Consultant, Java Developer, Deloitte Dig...",Deloitte,,"Including: customer and channel strategy, customer experience design, designing new service capabilities and operations, mobile, online and contact centre…",London,https://uk.indeed.com/rc/clk?jk=6e7210db104fd633&fccid=9e215d88a6b33622&vjs=3
37,Back-End Engineer,Consortia,"£70,000 - £80,000 a year","Prior knowledge of blockchain development (more specifically Ethereum) and the.
You will also assist in improving tools to install, display and maintain a…",London,https://uk.indeed.com/rc/clk?jk=bdb8b4392d4228dc&fccid=04f36097f3ddf22e&vjs=3
38,SENIOR DEVELOPER,United Vanning,,Creating solution proposals and new architectures that will evolve or transform our clients’ IT landscapes and deliver true business value.,Staines-upon-Thames,https://uk.indeed.com/rc/clk?jk=272c68ef374fcf98&fccid=e5fdf6e4929f34fd&vjs=3
39,Games Developer - Blockchain NFT,Client Server,"£30,000 - £40,000 a year",Well-funded start-up is seeking a talented Games Developer to join their close-knit team where you'll be responsible for designing and developing high quality…,London,https://uk.indeed.com/rc/clk?jk=5beda93a225ed154&fccid=892c145157842ceb&vjs=3
40,TypeScript/React Developer - Blockchain,Searchability,"£90,000 a year","BRAND NEW PERMANENT JOB OPPORTUNITY WITH A LONDON START-UP THAT HAVE JUST RECEIVED SERIES A FUNDING.
Start-up backed by successful Blockchain entrepeneurs.",London,https://uk.indeed.com/rc/clk?jk=22a567f55783bbbe&fccid=2c97f9555235f285&vjs=3
41,Python Developer,Linux Recruit,"£55,000 - £75,000 a year",They are 2 years into this 5 year project and looking for a Python Developer to join and help on this journey.,London,https://uk.indeed.com/rc/clk?jk=49fe1966175cd18e&fccid=c7414b794cb89c1c&vjs=3
42,"Consultant - Senior Consultant, Java/ Python Developer, Publ...",Deloitte,,"Including: customer and channel strategy, customer experience design, designing new service capabilities and operations, mobile, online and contact centre…",London,https://uk.indeed.com/rc/clk?jk=51ac523cfeacfaa4&fccid=9e215d88a6b33622&vjs=3
43,Senior Salesforce Developer,IBM,,"IBM has embarked on a major internal sales transformation program, partnering with Salesforce to rethink its sales processes for its sellers, sales managers,…",London,https://uk.indeed.com/rc/clk?jk=8f9c3176ba51d445&fccid=de71a49b535e21cb&vjs=3
